trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-59.576275919491444,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,5,-67.02991213817535,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-224.4470527804014,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-197.52356042806525,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,4,-230.59093415358882,"{0: 14, 1: 1, 2: 4, 3: 4, 4: 3}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-74.52986730839703,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-82.87756810146837,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-261.18661880106595,"{0: 14, 1: 2, 2: 9, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-137.26338350672322,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,1.4428186154982099,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,14,-3.5931455791951334,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-80.09506872816642,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,-33.92065204528467,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,9,-110.86490792102599,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,5,-58.92555244245464,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-138.1020631133925,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-37.74431134816637,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-84.41082140837867,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-4.38547565891163,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0}",20,4,-119.31151724991925,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 3}",1
1,True,"{'a': 0.5, 'e': 0}",20,7,22.365113136827684,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 0}",25,10,19.043358026724903,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0}",35,13,-87.5808598833031,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 2}",1
4,True,"{'a': 0.5, 'e': 0}",25,1,-18.263637611495483,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 0}",20,15,9.834178463269824,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0}",25,0,-30.84985975734584,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 0}",25,19,12.242736642697192,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 0}",20,0,-25.721087186717526,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 0}",20,0,0.483431532424217,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 0}",20,4,-29.810396895685752,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
