trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999864800304651}",30,0,36.22747648727893,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9999459204874394}",30,0,-0.626092450419772,"{0: 25, 1: 5, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9998783224676504}",20,0,14.391840014004146,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9997836877989446}",20,0,18.242016448369732,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9996620190402377}",25,0,21.14391160168408,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9995133194814453}",25,0,31.337947994606882,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9993375931433945}",20,0,9.417849551723183,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9991348447777151}",30,11,-0.4535658657088262,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9989050798667101}",20,0,28.23007219984404,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9986483046232089}",20,0,23.34430125484531,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9983645259903983}",20,0,14.584232770981227,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9980537516416355}",25,0,20.14809413566265,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9977159899802397}",25,0,1.2639570026063194,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9973512501392657}",30,0,27.64961297309899,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9969595419812568}",20,0,17.046423611552143,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9965408760979774}",25,0,38.69214444216026,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9960952638101277}",35,0,19.143893225968146,"{0: 30, 1: 5, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9956227171670368}",20,0,14.737146549789678,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9951232489463369}",20,0,18.386230735899183,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9945968726536185}",20,4,16.915965531834082,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9940436025220645}",30,0,35.59802402645373,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9934634535120653}",30,0,24.446746850949395,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9928564413108151}",30,0,20.41343105684819,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9922225823318865}",20,0,8.815847771755,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9915618937147881}",25,0,23.168868719752886,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9908743933244993}",20,0,23.001825010901303,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9901600997509893}",30,20,22.779936560031864,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.9894190323087124}",20,0,21.003158178997193,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9886512110360874}",30,10,34.51653129664786,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.9878566566949545}",25,0,19.630151277044245,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9870353907700148}",25,0,3.016098109590102,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9861874354682487}",30,0,8.460075608062846,"{0: 25, 1: 5, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9853128137183161}",20,0,6.822879715535048,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9844115491699358}",20,0,3.5668871648620573,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9834836661932461}",20,0,11.078115871440307,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9825291898781464}",30,0,5.80431980771796,"{0: 25, 1: 5, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.9815481460336178}",20,0,24.498863875683654,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9805405611870265}",35,18,16.585920919185682,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.9795064625834049}",30,0,32.387883186979884,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
