trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,7,-135.63756566650233,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.14671232789824,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,9,-38.14273776511209,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.94836959537386,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.9666608010326,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.0522708524284,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.12321931002626,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.36775301651116,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.87907466834126,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.45293013161641,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.65767285773714,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.41051478924618,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.11301152319936,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-249.87849543227566,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.66425737540514,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.76219389929096,"{0: 17, 1: 5, 2: 5, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.39107566665976,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,7,-76.73860417339895,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.83954657148807,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.7915965898814,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,5,-41.9879245170398,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.86145582656852,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-93.3606201561282,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.22461448596776,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.04619753866187,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.75274409006759,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.22935517849572,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-128.71760044560435,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.68349848570153,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.33819509898603,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
